district,houses_destroyed_pct,health_facilities_damaged_pct,water_facilities_damaged_pct,public_infra_damaged_pct,food_insecure_households_pct,road_accessibility_score,poverty_rate,telecom_coverage_pct,displaced_pop_pct,farmland_lost_pct,pop_density,Emergency Shelter & Housing,Water & Sanitation Recovery,Emergency Food Distribution,Emergency Logistics & Transportation,Search Rescue & Evacuation,Emergency Health Response,Immediate Cash Assistance,Emergency Communications,Psychosocial First Aid,Critical Infrastructure Restoration,Agricultural Recovery
Sindhupalchok,96,90,88,91,85,40,31,60,80,70,110,100.0,2.8432168968318448,100.0,71.42857142857144,100.0,100.00000000000001,94.69387755102042,100.0,99.99999999999999,100.0,99.99999999999999
Gorkha,92,85,83,88,80,45,30,65,75,68,120,93.44262295081967,2.946606602171184,89.79591836734693,57.14285714285714,84.56449834619625,90.38461538461537,83.67346938775512,83.33333333333334,88.8888888888889,95.08196721311475,95.23809523809523
Dhading,85,80,78,82,75,50,32,68,72,66,160,81.96721311475409,3.8771139502252425,79.59183673469389,42.85714285714286,66.70341786108048,80.76923076923076,81.63265306122449,73.33333333333334,82.22222222222221,85.24590163934425,90.47619047619047
Nuwakot,80,77,74,78,70,55,33,70,70,64,170,73.7704918032787,3.914038844989292,69.38775510204081,28.571428571428584,52.37045203969128,75.00000000000001,77.55102040816325,66.66666666666666,77.77777777777779,78.68852459016394,85.71428571428571
Dolakha,88,82,79,85,73,48,35,66,73,67,130,86.88524590163934,3.0610737759397386,75.51020408163265,48.571428571428584,73.89195148842336,84.61538461538463,100.0,80.0,84.44444444444444,90.1639344262295,92.85714285714285
Ramechhap,82,78,75,80,70,55,34,72,69,63,125,77.04918032786884,2.7305959678014915,69.38775510204081,28.571428571428584,54.35501653803748,76.92307692307692,85.10204081632654,60.00000000000001,75.55555555555556,81.96721311475412,83.33333333333333
Kavrepalanchok,78,73,70,76,65,60,33,75,65,60,220,70.49180327868852,4.9553208773355,59.18367346938774,14.285714285714292,41.78610804851157,67.3076923076923,74.18367346938774,50.00000000000001,66.66666666666667,75.40983606557377,76.19047619047619
Kathmandu,60,65,62,55,58,30,20,90,50,40,4400,40.983606557377044,100.00000000000001,44.897959183673464,100.0,65.60088202866592,51.92307692307692,4.081632653061227,0.0,33.33333333333333,40.98360655737706,28.57142857142857
Bhaktapur,65,66,63,60,60,35,21,88,52,42,3200,49.18032786885246,73.70947492799647,48.979591836734684,85.71428571428572,66.1521499448732,53.84615384615384,12.5,6.666666666666664,37.77777777777777,49.18032786885246,33.33333333333333
Lalitpur,58,60,58,54,55,38,22,87,50,38,2800,37.70491803278688,59.23491618048889,38.77551020408163,77.14285714285714,52.282249173098116,42.30769230769231,7.959183673469383,10.0,33.33333333333333,39.344262295081975,23.80952380952381
Makwanpur,52,55,53,50,48,45,29,75,45,36,180,27.868852459016395,2.791522044162174,24.48979591836735,57.14285714285714,36.0529217199559,32.69230769230769,19.795918367346943,50.00000000000001,22.222222222222214,32.786885245901644,19.047619047619037
Sindhuli,48,50,48,45,46,55,32,70,43,35,160,21.311475409836063,2.104719001550846,20.408163265306115,28.571428571428584,20.61742006615215,23.07692307692308,21.224489795918373,66.66666666666666,17.77777777777777,24.59016393442623,16.666666666666657
Okhaldhunga,45,48,47,40,43,58,34,65,42,33,150,16.393442622950815,1.8720921645373312,14.285714285714278,20.0,14.663726571113557,19.230769230769226,20.91836734693878,83.33333333333334,15.555555555555557,16.39344262295083,11.904761904761898
Lamjung,47,50,48,42,44,52,33,68,44,34,140,19.67213114754098,1.7502400118159662,16.326530612244895,37.14285714285714,22.734288864388084,23.07692307692308,21.98979591836735,73.33333333333334,20.0,19.67213114754098,14.285714285714278
Chitwan,40,42,41,38,40,60,28,80,40,30,260,8.196721311475414,3.205080865519534,8.16326530612244,14.285714285714292,8.26901874310915,7.692307692307693,0.0,33.333333333333336,11.1111111111111,13.114754098360656,4.761904761904759
Solukhumbu,43,45,44,38,42,58,32,67,41,31,45,13.114754098360649,0.0,12.244897959183675,20.0,12.811466372657108,13.461538461538467,13.061224489795919,76.66666666666666,13.333333333333329,13.114754098360656,7.142857142857139
Khotang,41,44,43,36,40,60,33,65,40,30,180,9.836065573770483,2.126873938409276,8.16326530612244,14.285714285714292,9.151047409040793,11.538461538461533,11.887755102040813,83.33333333333334,11.1111111111111,9.836065573770497,4.761904761904759
Bhojpur,39,42,41,34,39,63,34,63,38,29,170,6.5573770491803245,1.8425522487260912,6.122448979591837,5.714285714285722,4.807056229327451,7.692307692307693,10.51020408163265,90.0,6.666666666666657,6.557377049180332,2.3809523809523796
Udayapur,35,38,37,30,36,65,33,60,35,28,160,0.0,1.4548408537035673,0.0,0.0,0.0,0.0,1.7857142857142918,100.0,0.0,0.0,0.0
