ngo_name,coverage_level,coverage_area,category,capacity_score
CARE Nepal,national,Nepal,Agricultural Recovery,100.0
CARE Nepal,national,Nepal,Critical Infrastructure Restoration,0.0
CARE Nepal,national,Nepal,Emergency Communications,0.0
CARE Nepal,national,Nepal,Emergency Food Distribution,100.0
CARE Nepal,national,Nepal,Emergency Health Response,0.0
CARE Nepal,national,Nepal,Emergency Logistics & Transportation,0.0
CARE Nepal,national,Nepal,Emergency Shelter & Housing,100.0
CARE Nepal,national,Nepal,Immediate Cash Assistance,100.0
CARE Nepal,national,Nepal,Psychosocial First Aid,0.0
CARE Nepal,national,Nepal,"Search, Rescue & Evacuation",0.0
CARE Nepal,national,Nepal,Water & Sanitation Recovery,100.0
FAO,national,Nepal,Agricultural Recovery,100.0
FAO,national,Nepal,Critical Infrastructure Restoration,0.0
FAO,national,Nepal,Emergency Communications,0.0
FAO,national,Nepal,Emergency Food Distribution,0.0
FAO,national,Nepal,Emergency Health Response,0.0
FAO,national,Nepal,Emergency Logistics & Transportation,0.0
FAO,national,Nepal,Emergency Shelter & Housing,0.0
FAO,national,Nepal,Immediate Cash Assistance,0.0
FAO,national,Nepal,Psychosocial First Aid,0.0
FAO,national,Nepal,"Search, Rescue & Evacuation",0.0
FAO,national,Nepal,Water & Sanitation Recovery,0.0
Habitat for Humanity,national,Nepal,Agricultural Recovery,100.0
Habitat for Humanity,national,Nepal,Critical Infrastructure Restoration,100.0
Habitat for Humanity,national,Nepal,Emergency Communications,0.0
Habitat for Humanity,national,Nepal,Emergency Food Distribution,0.0
Habitat for Humanity,national,Nepal,Emergency Health Response,0.0
Habitat for Humanity,national,Nepal,Emergency Logistics & Transportation,0.0
Habitat for Humanity,national,Nepal,Emergency Shelter & Housing,100.0
Habitat for Humanity,national,Nepal,Immediate Cash Assistance,0.0
Habitat for Humanity,national,Nepal,Psychosocial First Aid,0.0
Habitat for Humanity,national,Nepal,"Search, Rescue & Evacuation",0.0
Habitat for Humanity,national,Nepal,Water & Sanitation Recovery,0.0
Oxfam,national,Nepal,Agricultural Recovery,100.0
Oxfam,national,Nepal,Critical Infrastructure Restoration,100.0
Oxfam,national,Nepal,Emergency Communications,0.0
Oxfam,national,Nepal,Emergency Food Distribution,100.0
Oxfam,national,Nepal,Emergency Health Response,0.0
Oxfam,national,Nepal,Emergency Logistics & Transportation,100.0
Oxfam,national,Nepal,Emergency Shelter & Housing,100.0
Oxfam,national,Nepal,Immediate Cash Assistance,100.0
Oxfam,national,Nepal,Psychosocial First Aid,0.0
Oxfam,national,Nepal,"Search, Rescue & Evacuation",0.0
Oxfam,national,Nepal,Water & Sanitation Recovery,100.0
Red Cross,national,Nepal,Agricultural Recovery,0.0
Red Cross,national,Nepal,Critical Infrastructure Restoration,0.0
Red Cross,national,Nepal,Emergency Communications,100.0
Red Cross,national,Nepal,Emergency Food Distribution,100.0
Red Cross,national,Nepal,Emergency Health Response,100.0
Red Cross,national,Nepal,Emergency Logistics & Transportation,100.0
Red Cross,national,Nepal,Emergency Shelter & Housing,100.0
Red Cross,national,Nepal,Immediate Cash Assistance,0.0
Red Cross,national,Nepal,Psychosocial First Aid,100.0
Red Cross,national,Nepal,"Search, Rescue & Evacuation",100.0
Red Cross,national,Nepal,Water & Sanitation Recovery,100.0
Relief Nepal Achham #1,district,Achham,Agricultural Recovery,73.2
Relief Nepal Achham #1,district,Achham,Critical Infrastructure Restoration,65.95
Relief Nepal Achham #1,district,Achham,Emergency Communications,63.65
Relief Nepal Achham #1,district,Achham,Emergency Food Distribution,65.19
Relief Nepal Achham #1,district,Achham,Emergency Health Response,69.17
Relief Nepal Achham #1,district,Achham,Emergency Logistics & Transportation,84.53
Relief Nepal Achham #1,district,Achham,Emergency Shelter & Housing,74.78
Relief Nepal Achham #1,district,Achham,Immediate Cash Assistance,51.03
Relief Nepal Achham #1,district,Achham,Psychosocial First Aid,65.2
Relief Nepal Achham #1,district,Achham,"Search, Rescue & Evacuation",70.76
Relief Nepal Achham #1,district,Achham,Water & Sanitation Recovery,68.54
Relief Nepal Achham #2,district,Achham,Agricultural Recovery,85.92
Relief Nepal Achham #2,district,Achham,Critical Infrastructure Restoration,75.9
