NGO,district,match,urgency,fitness_score
CARE Nepal,Achham,66.67,62.75,65.1
CARE Nepal,Arghakhanchi,60.0,71.47,64.59
CARE Nepal,Baglung,66.67,52.63,61.05
CARE Nepal,Baitadi,60.0,69.89,63.96
CARE Nepal,Bajhang,50.0,67.1,56.84
CARE Nepal,Bajura,60.0,63.77,61.51
CARE Nepal,Banke,75.0,64.48,70.79
CARE Nepal,Bara,50.0,57.38,52.95
CARE Nepal,Bardiya,50.0,47.41,48.96
CARE Nepal,Bhaktapur,60.0,61.9,60.76
CARE Nepal,Bhojpur,50.0,39.3,45.72
CARE Nepal,Chitwan,50.0,40.45,46.18
CARE Nepal,Dadeldhura,60.0,71.21,64.48
CARE Nepal,Dailekh,60.0,59.2,59.68
CARE Nepal,Dang,50.0,54.8,51.92
CARE Nepal,Darchula,50.0,66.16,56.46
CARE Nepal,Dhading,60.0,74.0,65.6
CARE Nepal,Dhankuta,50.0,63.64,55.46
CARE Nepal,Dhanusha,50.0,57.27,52.91
CARE Nepal,Dolakha,60.0,75.1,66.04
CARE Nepal,Dolpa,50.0,55.32,52.13
CARE Nepal,Doti,60.0,71.28,64.51
CARE Nepal,Gorkha,60.0,79.1,67.64
CARE Nepal,Gulmi,66.67,48.32,59.33
CARE Nepal,Humla,60.0,69.08,63.63
CARE Nepal,Ilam,50.0,58.62,53.45
CARE Nepal,Jajarkot,33.33,53.69,41.47
CARE Nepal,Jhapa,66.67,52.21,60.88
CARE Nepal,Jumla,50.0,52.45,50.98
CARE Nepal,Kailali,100.0,56.18,82.47
CARE Nepal,Kalikot,50.0,55.37,52.15
CARE Nepal,Kanchanpur,60.0,60.94,60.37
CARE Nepal,Kapilvastu,75.0,65.85,71.34
CARE Nepal,Kaski,50.0,64.39,55.75
CARE Nepal,Kathmandu,60.0,60.65,60.26
CARE Nepal,Kavrepalanchok,60.0,65.8,62.32
CARE Nepal,Khotang,50.0,41.25,46.5
CARE Nepal,Lalitpur,60.0,57.1,58.84
CARE Nepal,Lamjung,50.0,46.7,48.68
CARE Nepal,Mahottari,66.67,58.84,63.54
CARE Nepal,Makwanpur,66.67,51.2,60.48
CARE Nepal,Manang,66.67,54.58,61.83
CARE Nepal,Morang,66.67,57.53,63.01
CARE Nepal,Mugu,50.0,52.87,51.15
CARE Nepal,Mustang,75.0,69.51,72.8
CARE Nepal,Myagdi,33.33,60.77,44.31
CARE Nepal,Nawalpur,50.0,58.64,53.46
CARE Nepal,Nuwakot,60.0,69.9,63.96
CARE Nepal,Okhaldhunga,50.0,44.45,47.78
CARE Nepal,Palpa,50.0,52.98,51.19
