district,houses_destroyed_pct,health_facilities_damaged_pct,water_facilities_damaged_pct,public_infra_damaged_pct,food_insecure_households_pct,road_accessibility_score,poverty_rate,telecom_coverage_pct,displaced_pop_pct,farmland_lost_pct
Sindhupalchok,96.0,90.0,88.0,91.0,85.0,40.0,31.0,60.0,80.0,70.0
Gorkha,92.0,85.0,83.0,88.0,80.0,45.0,30.0,65.0,75.0,68.0
Dhading,85.0,80.0,78.0,82.0,75.0,50.0,32.0,68.0,72.0,66.0
Nuwakot,80.0,77.0,74.0,78.0,70.0,55.0,33.0,70.0,70.0,64.0
Dolakha,88.0,82.0,79.0,85.0,73.0,48.0,35.0,66.0,73.0,67.0
Ramechhap,82.0,78.0,75.0,80.0,70.0,55.0,34.0,72.0,69.0,63.0
Kavrepalanchok,78.0,73.0,70.0,76.0,65.0,60.0,33.0,75.0,65.0,60.0
Kathmandu,60.0,65.0,62.0,55.0,58.0,30.0,20.0,90.0,50.0,40.0
Bhaktapur,65.0,66.0,63.0,60.0,60.0,35.0,21.0,88.0,52.0,42.0
Lalitpur,58.0,60.0,58.0,54.0,55.0,38.0,22.0,87.0,50.0,38.0
Makwanpur,52.0,55.0,53.0,50.0,48.0,45.0,29.0,75.0,45.0,36.0
Sindhuli,48.0,50.0,48.0,45.0,46.0,55.0,32.0,70.0,43.0,35.0
Okhaldhunga,45.0,48.0,47.0,40.0,43.0,58.0,34.0,65.0,42.0,33.0
Lamjung,47.0,50.0,48.0,42.0,44.0,52.0,33.0,68.0,44.0,34.0
Chitwan,40.0,42.0,41.0,38.0,40.0,60.0,28.0,80.0,40.0,30.0
Solukhumbu,43.0,45.0,44.0,38.0,42.0,58.0,32.0,67.0,41.0,31.0
Khotang,41.0,44.0,43.0,36.0,40.0,60.0,33.0,65.0,40.0,30.0
Bhojpur,39.0,42.0,41.0,34.0,39.0,63.0,34.0,63.0,38.0,29.0
Udayapur,35.0,38.0,37.0,30.0,36.0,65.0,33.0,60.0,35.0,28.0
Dhankuta,54.34,91.79,77.57,68.91,40.14,40.13,33.77,86.3,69.07,76.02
Ilam,31.33,93.04,84.1,43.8,41.81,41.92,49.77,64.1,58.07,48.92
Jhapa,69.77,39.06,48.98,53.81,59.64,81.03,42.97,63.42,68.5,33.01
Morang,69.49,41.08,34.22,91.67,92.76,82.54,49.79,36.34,74.47,58.6
Panchthar,37.93,62.18,32.23,89.1,46.82,73.06,50.26,63.8,65.53,42.01
Sankhuwasabha,93.02,80.38,91.06,88.16,68.86,89.92,35.75,42.73,32.93,51.14
Sunsari,55.26,47.63,83.86,53.18,48.26,65.27,39.16,82.14,34.84,94.14
Taplejung,80.19,42.91,30.35,83.0,75.94,77.38,80.13,34.81,53.3,37.53
Terhathum,86.1,70.51,51.5,34.13,50.21,51.13,77.42,71.44,87.66,60.69
Bara,37.77,76.36,79.45,66.48,80.11,62.09,63.97,57.79,31.65,37.01
Dhanusha,32.04,71.36,50.43,63.05,88.99,46.2,56.67,79.11,44.87,35.0
Mahottari,48.83,40.47,90.43,82.52,71.17,86.64,82.23,42.12,88.01,65.05
Parsa,82.48,88.24,50.67,37.15,44.81,57.76,83.17,85.94,30.45,63.19
Rautahat,57.13,44.43,37.79,51.94,91.28,51.0,63.72,75.69,53.63,93.16
Saptari,92.55,46.36,62.32,49.55,48.51,32.39,69.62,62.67,33.34,48.11
Sarlahi,89.03,45.57,39.41,61.81,94.06,45.73,73.68,79.5,45.44,77.33
Siraha,53.9,71.09,71.17,64.82,35.86,84.29,50.85,42.12,32.65,68.4
Rasuwa,74.04,31.07,63.28,44.72,71.93,41.33,74.91,55.13,90.88,38.93
Baglung,52.16,37.37,90.1,87.02,46.76,72.89,83.11,66.08,64.42,45.72
Kaski,36.05,88.31,88.52,71.15,52.03,52.69,77.18,88.31,87.66,80.69
Manang,71.73,35.46,40.5,88.4,69.41,30.59,36.59,73.12,30.32,40.45
Mustang,65.66,74.97,72.37,44.57,76.29,45.42,51.15,78.52,72.22,85.19
Myagdi,72.74,66.94,36.08,53.9,47.23,45.85,93.24,55.55,87.98,71.02
Nawalpur,81.66,62.67,67.49,62.01,42.69,76.95,48.25,31.58,71.95,41.51
Parbat,91.12,92.0,89.46,54.06,31.0,90.34,57.83,92.83,92.63,85.44
Syangja,49.13,55.03,85.32,50.59,41.01,66.19,90.85,75.24,67.05,36.31
Tanahun,69.97,94.35,39.1,63.69,87.02,78.14,75.3,75.66,53.36,49.08
Arghakhanchi,82.6,82.65,86.35,89.36,63.23,62.59,81.88,72.24,75.62,81.72
Banke,87.85,51.96,54.41,36.1,67.58,32.33,60.26,65.27,48.62,68.4
Bardiya,31.98,32.42,83.46,53.41,38.25,63.94,80.04,44.02,70.48,35.54
Dang,33.35,64.53,65.14,71.43,77.19,93.43,63.55,50.99,81.68,47.6
Gulmi,58.53,35.09,31.64,92.57,84.33,75.23,56.58,41.26,40.16,46.26
Kapilvastu,65.69,76.44,72.91,48.19,92.06,77.96,66.03,69.76,57.27,46.1
Palpa,53.13,79.25,30.93,37.54,32.99,32.64,85.6,75.73,60.82,36.35
Parasi,61.95,60.77,41.25,58.2,55.9,70.03,71.28,32.94,54.34,70.68
Pyuthan,62.7,85.67,72.81,40.59,34.58,71.75,31.72,68.07,91.11,67.4
Rolpa,55.23,71.81,59.78,65.46,91.19,55.09,92.47,88.84,42.72,34.5
Rukum (East),36.55,31.18,36.13,74.39,34.62,50.73,84.91,31.51,82.94,48.32
Rupandehi,37.68,75.28,70.88,87.03,77.77,82.22,48.33,41.53,78.78,82.44
Dailekh,94.38,56.82,54.18,80.46,52.15,90.49,85.79,57.88,78.8,79.04
Dolpa,36.7,88.66,62.84,83.71,50.8,88.2,55.29,30.7,88.84,35.93
Humla,50.75,91.75,91.78,67.27,71.06,59.14,49.05,51.36,73.71,78.9
Jajarkot,81.45,81.32,35.92,62.13,33.74,65.71,58.69,87.7,52.8,37.6
Jumla,39.29,79.49,70.18,36.57,35.46,75.56,34.72,83.42,75.9,35.28
Kalikot,35.51,94.13,54.32,54.09,82.83,91.57,94.09,78.96,54.45,35.42
Mugu,80.51,66.29,57.57,88.91,37.22,62.02,30.73,60.46,33.65,37.72
Rukum (West),37.63,72.19,78.49,67.91,92.54,54.36,48.57,86.45,44.53,92.6
Salyan,30.79,93.04,32.8,87.92,64.3,94.54,34.79,66.0,93.0,64.0
Surkhet,70.91,75.22,59.54,70.79,67.98,88.57,32.95,48.26,91.77,87.86
Achham,59.61,70.3,48.02,42.22,60.14,52.96,67.93,35.05,93.33,94.1
Baitadi,75.38,64.84,50.11,82.89,74.5,40.57,89.21,83.46,91.73,77.17
Bajhang,69.87,57.18,90.62,86.29,32.93,31.71,54.47,82.68,94.17,39.77
Bajura,68.61,54.75,93.04,84.73,84.49,60.46,56.96,47.77,33.66,86.2
Dadeldhura,82.83,94.98,94.78,66.1,79.98,91.4,85.22,46.07,59.28,38.39
Darchula,92.01,69.4,44.86,73.66,70.17,53.28,37.38,73.65,63.82,80.2
Doti,63.81,85.39,65.87,66.46,86.98,56.22,38.71,31.87,79.08,70.32
Kailali,75.76,43.84,38.86,30.94,52.78,68.34,55.49,58.43,88.77,52.63
Kanchanpur,63.4,80.93,55.77,70.43,86.05,91.71,39.55,90.22,61.98,46.78
